rat,rsrp,rsrq,snr,pci,deltaTcpKernelLossRate,deltaDnsRttAvg,deltaTcpKernelRttAvg,dlRateBps,ulRateBps,retans,totalretrans,unacked,retransmit,lostCount,avgRttVar,minRtt,avgRtt,isVedioDataStall,isVideoFront
20.0,-92.0,-14.0,-9.0,0.0,0.0,20.0,0.0,1468.0,75.0,0.0,5.0,1.0,0.0,0.0,22931.0,16204.0,53767.0,1.0,0.0
20.0,-82.0,-12.0,6.0,1.0,0.0,18.0,0.0,458.0,27.0,0.0,1.0,1.0,0.0,0.0,21017.0,16204.0,50066.0,1.0,0.0
20.0,-82.0,-12.0,6.0,0.0,-6.0,0.0,-1.0,36.0,14.0,9.0,26.0,26.0,21.0,26.0,39583.0,16204.0,46004.0,1.0,0.0
20.0,-82.0,-12.0,6.0,0.0,-25.0,0.0,-4.0,21.0,7.0,12.0,25.0,34.0,43.0,34.0,56790.0,16204.0,41924.0,1.0,0.0
20.0,-82.0,-12.0,6.0,1.0,-37.0,-1.0,26.0,42.0,9.0,11.0,34.0,45.0,49.0,18.0,161865.0,16204.0,94934.0,1.0,0.0
20.0,-98.0,-14.0,-4.0,1.0,220.0,0.0,37.0,29.0,7.0,7.0,18.0,48.0,35.0,7.0,363683.0,16204.0,243086.0,1.0,0.0
20.0,-98.0,-14.0,-4.0,0.0,-17.0,-1.0,-5.0,32.0,7.0,15.0,30.0,51.0,57.0,15.0,361585.0,16204.0,216671.0,1.0,0.0
20.0,-84.0,-11.0,6.0,0.0,19.0,12011.0,1.0,86.0,24.0,61.0,92.0,77.0,120.0,63.0,332653.0,30186.0,306399.0,1.0,0.0
20.0,-84.0,-11.0,6.0,0.0,-28.0,13795.0,-12.0,146.0,66.0,0.0,49.0,38.0,0.0,0.0,575759.0,16204.0,915634.0,1.0,0.0
20.0,-84.0,-11.0,6.0,1.0,0.0,49.0,15.0,89.0,31.0,1.0,7.0,15.0,2.0,1.0,530503.0,16204.0,851643.0,1.0,0.0
20.0,-84.0,-11.0,6.0,0.0,-5.0,1.0,-17.0,0.0,9.0,10.0,22.0,40.0,16.0,14.0,505326.0,16204.0,746417.0,1.0,0.0
20.0,-84.0,-11.0,6.0,0.0,-11.0,1.0,-23.0,33.0,20.0,0.0,24.0,6.0,0.0,0.0,577701.0,16204.0,862385.0,1.0,0.0
20.0,-84.0,-11.0,6.0,1.0,0.0,159.0,-36.0,119.0,13.0,0.0,1.0,7.0,0.0,0.0,531384.0,16204.0,788977.0,1.0,0.0
20.0,-91.0,-12.0,3.0,0.0,0.0,287.0,2.0,116.0,9.0,0.0,3.0,1.0,0.0,0.0,531732.0,16204.0,786846.0,1.0,0.0
