time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,avgRtt,avgRttVar,avgRcvRtt,sentCount,recvCount,lostCount,retans,retransmit,unacked,totalretrans,mLatitude,mLongitude,delay,dataStall
18:37:55,FALSE,,-1,849,-63,-11,36,20,93,0,-1,21,-1,35,100,93,0,50,11,0,31,100,,,1298,,,,,,,,,,,,0,0,
18:37:55,FALSE,com.miui.home,-1,849,-63,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:37:57,FALSE,com.miui.home,-1,849,-63,-11,36,20,95,0,-1,21,-1,40,100,100,0,-1,-1,-1,80,100,5.29KB/s,11.33KB/s,3262,,,,,,,,,,,,0,0,
18:37:57,FALSE,com.miui.home,-1,849,-63,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:37:59,FALSE,com.miui.home,-1,849,-62,-11,36,20,96,0,-1,21,-1,39,100,100,0,-1,-1,-1,30,100,3.64KB/s,10.72KB/s,5267,,,,,,,,,,,,0,0,
18:37:59,FALSE,com.miui.home,-1,849,-62,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:01,FALSE,com.miui.home,-1,849,-62,-11,36,20,97,0,-1,21,-1,34,77,100,0,-1,-1,-1,27,50,4.77KB/s,10.42KB/s,7276,,,,,,,,,,,,0,0,
18:38:01,FALSE,com.miui.home,-1,849,-62,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:03,FALSE,com.miui.home,-1,849,-62,-11,36,20,97,0,-1,21,-1,34,78,100,0,-1,-1,-1,33,100,0.69KB/s,0.37KB/s,9279,,,,,,,,,,,,0,0,
18:38:03,FALSE,com.miui.home,-1,849,-62,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:05,FALSE,com.miui.home,-1,849,-62,-11,36,20,98,0,-1,21,-1,23,86,100,0,-1,-1,-1,5,100,14.14KB/s,15.63KB/s,11287,,,,,,,,,,,,0,0,
18:38:05,FALSE,com.miui.notes,-1,849,-62,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:07,FALSE,com.miui.notes,-1,849,-62,-11,36,20,98,0,-1,21,-1,20,89,100,0,-1,-1,-1,10,100,16.33KB/s,10.12KB/s,13297,,,,,,,,,,,,0,0,
18:38:07,FALSE,com.miui.notes,-1,849,-62,-11,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:09,FALSE,com.miui.notes,-1,849,-64,-11,32,20,98,0,-1,21,-1,20,90,100,0,-1,-1,-1,16,100,2.01KB/s,1.54KB/s,15306,,,,,,,,,,,,0,0,
18:38:09,FALSE,com.miui.notes,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:11,FALSE,com.miui.notes,-1,849,-64,-11,32,20,98,0,-1,21,-1,21,91,100,0,-1,-1,-1,26,100,1.08KB/s,1.28KB/s,17312,,,,,,,,,,,,0,0,
18:38:11,FALSE,com.miui.notes,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:13,FALSE,com.miui.notes,-1,849,-64,-11,32,20,98,0,-1,21,-1,21,91,100,0,-1,-1,-1,1,100,2.91KB/s,6.39KB/s,19309,,,,,,,,,,,,0,0,
18:38:13,FALSE,com.miui.notes,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:15,FALSE,com.miui.notes,-1,849,-64,-11,32,20,98,0,-1,21,-1,18,92,100,0,-1,-1,-1,0,100,0.81KB/s,0.75KB/s,21316,,,,,,,,,,,,0,0,
18:38:15,FALSE,com.miui.notes,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:17,FALSE,com.miui.notes,-1,849,-64,-11,32,20,98,0,-1,21,-1,18,92,100,-1,-1,-1,-1,-1,-1,0.15KB/s,0.21KB/s,23326,,,,,,,,,,,,0,0,
18:38:17,FALSE,com.miui.notes,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:19,FALSE,com.miui.notes,-1,849,-64,-11,32,20,99,0,0,21,36,18,92,100,-1,0,-1,36,-1,-1,0.00KB/s,0.00KB/s,25318,,,,,,,,,,,,0,0,
18:38:19,FALSE,com.miui.home,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:21,FALSE,com.miui.home,-1,849,-64,-11,32,20,99,0,0,21,36,18,92,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,27332,,,,,,,,,,,,0,0,
18:38:21,FALSE,com.miui.home,-1,849,-64,-11,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:38:23,FALSE,com.miui.home,-1,849,-64,-11,32,20,99,0,0,21,36,18,92,100,-1,-1,-1,-1,-1,-1,0.02KB/s,0.28KB/s,29326,,,,,,,,,,,,0,0,
