time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,avgRtt,avgRttVar,avgRcvRtt,sentCount,recvCount,lostCount,retans,retransmit,unacked,totalretrans,mLatitude,mLongitude,delay,dataStall
13:28:54,FALSE,,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,99,0,0,1,28,26,92,,,656,,,,,,,,,,,,0,0,
13:28:54,FALSE,,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:28:56,FALSE,,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,3.81KB/s,0.71KB/s,2655,,,,,,,,,,,,0,0,
13:28:56,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:28:58,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,4664,,,,,,,,,,,,0,0,
13:28:58,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:29:00,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,0.04KB/s,0.05KB/s,6673,,,,,,,,,,,,0,0,
13:29:00,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:29:02,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,0.02KB/s,0.02KB/s,8682,,,,,,,,,,,,0,0,
13:29:02,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:29:04,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,1.27KB/s,0.20KB/s,10684,,,,,,,,,,,,0,0,
13:29:04,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:29:06,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,12695,,,,,,,,,,,,0,0,
13:29:06,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:29:08,FALSE,com.miui.home,-1,920,-68,-11,28,20,99,0,0,-1,37,27,91,100,-1,-1,-1,-1,-1,-1,0.04KB/s,0.02KB/s,14697,,,,,,,,,,,,0,0,
13:29:08,FALSE,com.miui.home,-1,920,-68,-11,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
