time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,avgRtt,avgRttVar,avgRcvRtt,sentCount,recvCount,lostCount,retans,retransmit,unacked,totalretrans,mLatitude,mLongitude,delay,dataStall
12:20:02,FALSE,,-1,787,-86,-11,25,20,100,5,0,26,52,40,93,100,5,0,20,51,40,93,,,905,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:04,FALSE,,-1,787,-86,-11,25,20,100,5,0,26,52,40,93,100,-1,-1,-1,-1,-1,-1,0.07KB/s,0.00KB/s,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:06,FALSE,com.miui.home,-1,787,-87,-11,25,20,100,5,0,24,52,40,93,100,0,-1,17,-1,33,100,3.17KB/s,4.02KB/s,4905,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:08,FALSE,com.miui.home,-1,787,-87,-11,25,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.03KB/s,0.00KB/s,6903,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:10,FALSE,com.android.phone,-1,787,-87,-11,25,20,100,5,0,24,52,40,93,100,-1,2,-1,33,-1,-1,0.00KB/s,0.03KB/s,8913,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:12,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,10926,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:14,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,12927,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:16,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,5,0,24,52,40,93,100,0,-1,-1,-1,-1,-1,7.33KB/s,3.27KB/s,15046,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:18,FALSE,com.android.phone,-1,787,-86,-11,25,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,1.58KB/s,1.05KB/s,17026,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:20,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.19KB/s,0.08KB/s,19038,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:22,FALSE,com.miui.home,-1,787,-87,-11,24,20,100,5,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,21032,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:24,FALSE,com.miui.home,-1,787,-86,-11,22,20,100,5,0,24,52,40,93,100,0,-1,-1,-1,20,100,1.19KB/s,1.15KB/s,23035,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:26,FALSE,com.miui.notes,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,0,-1,-1,-1,19,100,6.10KB/s,6.14KB/s,25042,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:28,FALSE,com.miui.notes,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,0,-1,-1,-1,37,100,1.46KB/s,2.89KB/s,27037,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:30,FALSE,com.miui.notes,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,29050,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:32,FALSE,com.miui.notes,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,31054,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:34,FALSE,com.miui.notes,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,33058,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:36,FALSE,com.miui.home,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,35054,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:38,FALSE,com.miui.home,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,37052,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:40,FALSE,com.termoneplus,-1,787,-86,-11,22,20,100,4,0,24,52,40,93,100,0,0,-1,44,154,100,1.22KB/s,2.22KB/s,39071,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:42,FALSE,com.termoneplus,-1,787,-87,-11,23,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,41072,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:44,FALSE,com.termoneplus,-1,787,-87,-11,23,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,43078,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:46,FALSE,com.termoneplus,-1,787,-86,-11,25,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,45085,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:48,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,47085,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:50,FALSE,com.miui.home,-1,787,-86,-11,25,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,49091,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:52,FALSE,com.miui.home,-1,787,-88,-11,26,20,100,4,0,24,52,40,93,100,-1,-1,-1,-1,-1,-1,0.91KB/s,1.79KB/s,51115,0,0,0,0,0,0,0,0,0,0,0,0,0,
12:20:54,FALSE,com.miui.home,-1,787,-88,-11,26,20,100,4,0,24,52,44,92,100,0,-1,-1,-1,135,55,6.31KB/s,11.83KB/s,53118,0,0,0,0,0,0,0,0,0,0,0,0,0,
