time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,avgRtt,avgRttVar,avgRcvRtt,sentCount,recvCount,lostCount,retans,retransmit,unacked,totalretrans,mLatitude,mLongitude,delay,dataStall
12:31:55,FALSE,,-1,662,-73,-12,5,20,99,2,0,86,45,35,94,99,2,0,84,43,35,94,,,1791,,,,,,,,,,,,0,0,
12:31:55,FALSE,,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:31:57,FALSE,,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.03KB/s,0.00KB/s,3790,,,,,,,,,,,,0,0,
12:31:57,FALSE,,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:31:59,FALSE,,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.04KB/s,0.05KB/s,5796,,,,,,,,,,,,0,0,
12:31:59,FALSE,,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:01,FALSE,,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,7803,,,,,,,,,,,,0,0,
12:32:01,FALSE,,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:03,FALSE,,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,9806,,,,,,,,,,,,0,0,
12:32:03,FALSE,,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:05,FALSE,,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.03KB/s,0.00KB/s,11800,,,,,,,,,,,,0,0,
12:32:05,FALSE,com.miui.home,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:07,FALSE,com.miui.home,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.06KB/s,0.07KB/s,13817,,,,,,,,,,,,0,0,
12:32:07,FALSE,com.miui.home,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:09,FALSE,com.android.camera,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,0,-1,-1,-1,26,100,2.61KB/s,3.17KB/s,15811,,,,,,,,,,,,0,0,
12:32:09,FALSE,com.miui.home,-1,722,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:11,FALSE,com.miui.home,-1,722,-73,-12,5,20,99,2,0,86,45,35,94,100,-1,-1,-1,-1,-1,-1,0.72KB/s,2.41KB/s,17816,,,,,,,,,,,,0,0,
12:32:11,FALSE,com.miui.home,-1,662,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:13,FALSE,com.miui.home,-1,662,-73,-12,5,20,99,2,0,86,49,35,94,100,0,9,-1,148,-1,-1,0.18KB/s,0.02KB/s,19827,,,,,,,,,,,,0,0,
12:32:13,FALSE,com.miui.home,-1,662,-73,-12,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:15,FALSE,com.android.contacts,-1,662,-73,-12,5,20,99,2,0,86,49,35,94,100,-1,-1,-1,-1,-1,-1,0.61KB/s,0.05KB/s,21828,,,,,,,,,,,,0,0,
12:32:15,FALSE,com.android.contacts,-1,662,-76,-11,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:17,FALSE,com.android.contacts,-1,662,-76,-11,22,20,99,2,0,86,49,35,94,100,-1,-1,-1,-1,-1,-1,0.03KB/s,0.03KB/s,23839,,,,,,,,,,,,0,0,
12:32:17,FALSE,com.android.contacts,-1,662,-76,-11,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:19,FALSE,com.android.contacts,-1,662,-76,-11,22,20,99,2,0,86,49,35,94,100,-1,-1,-1,-1,-1,-1,0.06KB/s,0.00KB/s,25847,,,,,,,,,,,,0,0,
12:32:19,FALSE,com.bsp.catchlog,-1,662,-76,-11,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:21,FALSE,com.bsp.catchlog,-1,662,-76,-11,22,20,99,2,0,86,49,35,94,100,-1,-1,-1,-1,-1,-1,0.06KB/s,0.07KB/s,27857,,,,,,,,,,,,0,0,
12:32:21,FALSE,com.bsp.catchlog,-1,662,-76,-11,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:23,FALSE,com.miui.home,-1,662,-76,-11,22,20,99,2,0,86,49,35,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,29854,,,,,,,,,,,,0,0,
12:32:23,FALSE,com.miui.home,-1,662,-76,-11,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:25,FALSE,com.duapps.recorder,-1,662,-74,-12,19,20,99,2,0,86,49,35,94,100,0,-1,-1,-1,28,100,29.64KB/s,402.23KB/s,31855,,,,,,,,,,,,0,0,
12:32:25,FALSE,com.miui.home,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:27,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,2,0,83,49,35,94,100,0,-1,41,-1,26,100,34.34KB/s,98.75KB/s,33867,38751,14327,34875,15304,270,267,0,0,0,1,2,0,0,
12:32:27,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:29,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,2,0,83,49,35,94,100,0,-1,-1,-1,31,100,7.22KB/s,8.49KB/s,35862,36748,12944,33073,15304,42,46,0,0,0,0,0,0,0,
12:32:29,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:31,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,2,0,82,49,35,94,100,0,-1,38,-1,34,33,5.10KB/s,4.65KB/s,37873,41353,13881,37593,16050,24,20,0,0,0,0,0,0,0,
12:32:31,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:33,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,2,0,82,49,35,94,100,-1,-1,-1,-1,-1,-1,15.21KB/s,4.41KB/s,39872,41922,13977,38110,16050,29,14,0,0,0,10,0,0,0,
12:32:33,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:35,FALSE,com.duapps.recorder,-1,722,-74,-12,19,20,99,2,0,82,49,35,94,100,0,-1,-1,-1,13,100,16.92KB/s,65.15KB/s,41875,,,,,,,,,,,,0,0,
12:32:35,FALSE,com.duapps.recorder,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:37,FALSE,com.miui.home,-1,722,-74,-12,19,20,99,2,0,82,49,35,94,100,-1,-1,-1,-1,-1,-1,3.41KB/s,2.10KB/s,43876,43791,14479,39810,16050,44,37,0,0,0,0,0,0,0,
12:32:37,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:39,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,1,0,82,49,34,94,100,0,-1,-1,-1,29,100,44.64KB/s,798.37KB/s,45880,34800,16071,32123,15026,246,494,0,0,0,1,0,0,0,
12:32:39,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:41,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,99,1,0,82,49,34,94,100,0,-1,-1,-1,44,100,67.63KB/s,2045.60KB/s,47884,38124,20200,35582,15026,244,351,0,0,0,2,4,0,0,
12:32:41,FALSE,com.duowan.kiwi,-1,722,-74,-12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:44,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,99,1,0,82,52,34,94,100,0,0,-1,121,-1,-1,35.31KB/s,1520.39KB/s,49887,54593,35837,50693,15026,532,1545,0,0,0,0,1,0,0,
12:32:44,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:46,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,99,1,0,81,52,34,94,100,0,-1,44,-1,15,100,115.69KB/s,964.96KB/s,51888,31342,36195,29917,17071,446,905,0,0,0,8,0,0,0,
12:32:46,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:48,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,99,1,0,80,52,34,94,100,0,-1,40,-1,22,100,38.68KB/s,473.47KB/s,53902,45161,21677,44134,13058,204,202,0,0,0,1,0,0,0,
12:32:48,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:50,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,99,1,0,80,52,34,94,100,0,-1,-1,-1,17,100,2.64KB/s,6.16KB/s,55901,43835,27182,42838,16074,24,54,0,0,0,1,0,0,0,
12:32:50,FALSE,com.duowan.kiwi,-1,722,-75,-13,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:52,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,99,1,0,80,52,34,94,100,0,-1,-1,-1,29,100,3.33KB/s,68.43KB/s,57916,45041,21996,43993,12917,61,128,0,0,0,0,0,0,0,
12:32:52,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:54,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,99,1,0,103,52,34,94,100,0,-1,696,-1,32,100,3.37KB/s,5.14KB/s,59918,41131,18483,40174,14621,14,10,0,0,0,0,0,0,0,
12:32:54,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:56,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,99,1,0,103,52,34,94,100,-1,-1,-1,-1,-1,-1,0.28KB/s,0.35KB/s,61921,41131,18483,40174,14621,0,0,0,0,0,0,0,0,0,
12:32:56,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:58,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,99,1,0,103,52,34,94,100,0,-1,-1,-1,22,100,16.98KB/s,1.92KB/s,63928,42283,19298,41299,14621,26,14,0,0,0,0,0,0,0,
12:32:58,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:00,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,99,1,0,103,52,34,94,100,-1,-1,-1,-1,-1,-1,0.34KB/s,0.34KB/s,65931,42270,19168,41286,14621,4,2,0,0,0,0,0,0,0,
12:33:00,FALSE,com.duowan.kiwi,-1,722,-89,-13,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:02,FALSE,com.duowan.kiwi,-1,722,-85,-12,8,20,99,1,0,103,52,34,94,100,0,-1,-1,-1,5,100,8.18KB/s,4.92KB/s,67924,42891,19047,41893,14621,28,28,0,0,0,0,0,0,0,
12:33:02,FALSE,com.duowan.kiwi,-1,722,-85,-12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:04,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,99,1,0,103,52,33,94,100,0,-1,-1,-1,4,100,6.44KB/s,2.53KB/s,69936,43062,18740,42083,14621,16,8,0,0,0,1,0,0,0,
12:33:04,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:06,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,99,1,0,103,52,33,94,100,0,-1,-1,-1,11,100,1.42KB/s,2.76KB/s,71936,43619,18805,42604,14621,17,19,0,0,0,0,0,0,0,
12:33:06,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:08,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,99,1,0,103,52,33,94,100,0,-1,-1,-1,23,100,3.02KB/s,3.04KB/s,73948,43479,18574,42490,14621,10,7,0,0,0,2,0,0,0,
12:33:08,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:10,FALSE,com.duowan.kiwi,-1,662,-85,-12,8,20,99,1,0,103,52,33,94,100,-1,-1,-1,-1,-1,-1,0.16KB/s,0.18KB/s,75944,43154,18719,42150,14621,3,3,0,0,0,0,0,0,0,
12:33:10,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:12,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,99,1,0,103,52,33,94,100,-1,-1,-1,-1,-1,-1,0.68KB/s,0.42KB/s,77956,42994,18545,41994,14621,10,6,0,0,0,0,0,0,0,
12:33:12,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:14,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,99,1,0,103,52,33,94,100,-1,0,-1,48,-1,-1,4.58KB/s,0.36KB/s,79961,43238,18724,42232,14621,9,4,0,0,0,0,0,0,0,
12:33:14,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:16,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,99,1,0,103,52,33,94,100,-1,-1,-1,-1,-1,-1,0.20KB/s,0.35KB/s,81961,43212,18722,42207,14621,2,1,0,0,0,0,0,0,0,
12:33:16,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:18,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,99,1,0,103,52,33,94,100,-1,-1,-1,-1,-1,-1,0.26KB/s,0.27KB/s,83965,42173,18451,41168,14621,4,2,0,0,0,0,0,0,0,
12:33:18,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:20,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,99,1,0,103,52,33,94,100,0,-1,-1,-1,6,100,16.48KB/s,4.61KB/s,85969,43872,19957,42851,14621,39,28,0,0,0,1,0,0,0,
12:33:20,FALSE,com.duowan.kiwi,-1,662,-88,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:22,FALSE,com.duowan.kiwi,-1,2.15E+09,-88,-9,25,20,99,1,0,103,52,33,94,100,0,-1,-1,-1,3,100,4.68KB/s,4.96KB/s,87971,44618,19938,43580,14621,24,28,0,0,0,0,0,0,0,
