time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,avgRtt,avgRttVar,avgRcvRtt,sentCount,recvCount,lostCount,retans,retransmit,unacked,totalretrans,mLatitude,mLongitude,delay,dataStall
14:20:36,FALSE,,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,99,0,0,51,114,68,96,,,1972,,,,,,,,,,,,0,0,
14:20:36,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:38,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,3989,,,,,,,,,,,,0,0,
14:20:38,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:40,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,5990,,,,,,,,,,,,0,0,
14:20:40,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:42,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,8004,,,,,,,,,,,,0,0,
14:20:42,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:44,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.06KB/s,0.09KB/s,10008,,,,,,,,,,,,0,0,
14:20:44,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:46,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,0,-1,88,-1,-1,0.11KB/s,0.18KB/s,12019,,,,,,,,,,,,0,0,
14:20:46,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:48,FALSE,com.miui.home,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.05KB/s,14010,,,,,,,,,,,,0,0,
14:20:48,FALSE,com.miui.home,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:50,FALSE,com.bsp.catchlog,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.05KB/s,0.07KB/s,16021,,,,,,,,,,,,0,0,
14:20:50,FALSE,com.bsp.catchlog,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:52,FALSE,com.bsp.catchlog,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,18026,,,,,,,,,,,,0,0,
14:20:52,FALSE,com.bsp.catchlog,-1,898,-74,-11,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:20:54,FALSE,com.bsp.catchlog,-1,898,-74,-11,25,20,99,0,0,56,116,69,96,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,20024,,,,,,,,,,,,0,0,
