time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,dataStall
15:33:52,FALSE,,-1,644,-76,-11,24,20,99,7,0,36,39,490,94,99,7,0,34,35,488,94,,,956,
15:33:52,FALSE,,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:33:54,FALSE,com.miui.home,-1,644,-76,-11,24,20,99,7,0,36,39,490,94,100,0,-1,-1,-1,-1,-1,17.87KB/s,90.87KB/s,2955,
15:33:54,FALSE,com.miui.home,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:33:56,FALSE,com.miui.home,-1,644,-76,-11,24,20,99,7,0,36,39,490,94,100,0,-1,-1,-1,-1,-1,11.17KB/s,66.24KB/s,4959,
15:33:56,FALSE,com.miui.home,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:33:58,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,486,94,100,0,-1,-1,-1,20,100,11.85KB/s,104.19KB/s,6963,
15:33:58,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:00,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,484,94,100,0,-1,-1,-1,1,100,9.76KB/s,68.55KB/s,8962,
15:34:00,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:02,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,484,94,100,-1,-1,-1,-1,-1,-1,12.30KB/s,94.30KB/s,10972,
15:34:02,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:04,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,484,94,100,-1,-1,-1,-1,-1,-1,9.28KB/s,72.00KB/s,12975,
15:34:04,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:06,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,484,94,100,0,1,-1,40,-1,-1,16.64KB/s,347.19KB/s,14988,
15:34:06,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:08,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,7,0,36,39,484,94,100,-1,-1,-1,-1,-1,-1,6.89KB/s,54.52KB/s,16987,
15:34:08,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:10,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,6,0,36,39,484,94,100,0,-1,-1,-1,-1,-1,5.97KB/s,81.42KB/s,18992,
15:34:10,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
15:34:12,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,99,6,0,36,39,484,94,100,-1,-1,-1,-1,-1,-1,9.17KB/s,66.11KB/s,20991,
15:34:12,FALSE,com.duowan.kiwi,-1,644,-76,-11,24,20,,,,,,,,,,,,,,,,,,
