time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,dataStall
13:56:59,FALSE,,-1,885,-62,-11,35,20,99,4,0,29,28,776,95,99,4,0,27,27,774,95,,,2,
13:56:59,FALSE,,-1,885,-62,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:01,FALSE,,-1,885,-62,-11,35,20,99,4,0,29,28,771,94,100,0,-1,-1,-1,114,66,27.18KB/s,141.24KB/s,1990,
13:57:01,FALSE,,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:03,FALSE,com.miui.home,-1,885,-63,-11,35,20,99,4,0,29,28,771,94,100,0,-1,-1,-1,-1,-1,24.75KB/s,128.23KB/s,4004,
13:57:03,FALSE,com.miui.home,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:05,FALSE,com.miui.home,-1,885,-63,-11,35,20,99,4,0,29,28,771,94,100,0,-1,-1,-1,-1,-1,32.21KB/s,94.55KB/s,6007,
13:57:05,FALSE,com.miui.home,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:07,FALSE,com.miui.home,-1,885,-63,-11,35,20,99,4,0,29,28,771,94,100,-1,-1,-1,-1,-1,-1,36.24KB/s,157.48KB/s,8020,
13:57:07,FALSE,com.miui.home,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:09,FALSE,com.miui.home,-1,885,-63,-11,35,20,99,4,0,29,28,771,94,100,-1,-1,-1,-1,-1,-1,28.29KB/s,114.76KB/s,10019,
13:57:09,FALSE,com.android.contacts,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:11,FALSE,com.android.contacts,-1,885,-63,-11,35,20,99,4,0,29,28,771,94,100,-1,-1,-1,-1,-1,-1,25.95KB/s,136.92KB/s,12036,
13:57:11,FALSE,com.android.contacts,-1,885,-63,-11,35,20,,,,,,,,,,,,,,,,,,
