time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,dataStall
15:33:13,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,34,41,96,100,0,-1,-1,-1,2,100,33.09KB/s,76.12KB/s,55141,
15:33:13,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:15,FALSE,com.miui.home,3,644,-78,-11,18,20,99,5,0,45,34,42,95,100,0,-1,-1,-1,64,66,31.93KB/s,137.93KB/s,57141,
15:33:15,FALSE,com.android.contacts,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:17,FALSE,com.android.contacts,3,644,-78,-11,18,20,99,5,0,45,34,42,95,100,0,-1,-1,-1,-1,-1,23.52KB/s,89.25KB/s,59149,
15:33:17,FALSE,com.android.contacts,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:19,FALSE,com.android.contacts,3,644,-78,-11,18,20,99,5,0,45,34,42,95,100,0,-1,-1,-1,-1,-1,20.11KB/s,69.65KB/s,61150,
15:33:19,FALSE,com.android.phone,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:21,FALSE,com.android.phone,3,644,-78,-11,18,20,99,5,0,45,34,42,95,100,-1,-1,-1,-1,-1,-1,29.70KB/s,56.44KB/s,63152,
15:33:21,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:24,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,34,42,96,100,0,-1,-1,-1,215,100,32.02KB/s,104.65KB/s,65159,
15:33:24,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:26,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,34,42,96,100,0,-1,-1,-1,-1,-1,23.10KB/s,63.74KB/s,67165,
15:33:26,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:28,FALSE,com.miui.home,3,644,-78,-11,18,20,99,4,0,45,34,42,96,100,0,-1,-1,-1,-1,-1,30.82KB/s,106.71KB/s,69167,
15:33:28,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:30,FALSE,com.android.contacts,3,644,-78,-11,18,20,99,4,0,45,34,42,96,100,-1,-1,-1,-1,-1,-1,17.95KB/s,112.98KB/s,71181,
15:33:30,FALSE,com.android.contacts,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:32,FALSE,com.android.contacts,3,644,-78,-11,18,20,99,4,0,45,34,42,96,100,0,-1,-1,-1,-1,-1,19.41KB/s,121.02KB/s,73185,
15:33:32,FALSE,com.android.contacts,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:34,FALSE,com.android.contacts,3,644,-78,-11,18,20,99,4,0,45,34,42,96,100,-1,-1,-1,-1,-1,-1,23.44KB/s,83.62KB/s,75182,
15:33:34,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:36,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,36,42,96,100,100,0,-1,45,-1,-1,19.84KB/s,92.30KB/s,77188,
15:33:36,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:38,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,36,42,96,100,0,-1,-1,-1,-1,-1,19.67KB/s,64.77KB/s,79191,
15:33:38,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:40,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,36,42,96,100,-1,-1,-1,-1,-1,-1,20.00KB/s,89.28KB/s,81194,
15:33:40,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:42,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,5,0,45,36,42,96,100,-1,-1,-1,-1,-1,-1,13.11KB/s,55.97KB/s,83196,
15:33:42,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:44,FALSE,com.android.fileexplorer,3,644,-78,-11,18,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,40,60,20.91KB/s,90.52KB/s,85202,
15:33:44,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:46,FALSE,com.miui.home,3,644,-78,-11,18,20,99,4,0,45,36,42,95,100,-1,-1,-1,-1,-1,-1,12.49KB/s,91.63KB/s,87211,
15:33:46,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:48,FALSE,com.miui.home,3,644,-78,-11,18,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,-1,-1,15.42KB/s,80.53KB/s,89218,
15:33:48,FALSE,com.miui.home,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:50,FALSE,com.miui.home,3,644,-78,-11,18,20,99,4,0,45,36,42,95,100,-1,-1,-1,-1,-1,-1,19.31KB/s,89.27KB/s,91210,
15:33:50,FALSE,com.duowan.kiwi,3,644,-78,-11,18,20,,,,,,,,,,,,,,,,,,
15:33:52,FALSE,com.duowan.kiwi,3,644,-78,-11,18,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,60,100,28.50KB/s,152.32KB/s,93213,
15:33:52,FALSE,com.duowan.kiwi,3,644,-74,-11,13,20,,,,,,,,,,,,,,,,,,
15:33:54,FALSE,com.duowan.kiwi,3,644,-74,-11,13,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,24,100,18.66KB/s,64.63KB/s,95222,
15:33:54,FALSE,com.duowan.kiwi,3,644,-74,-11,13,20,,,,,,,,,,,,,,,,,,
15:33:56,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,4,50,25.02KB/s,95.19KB/s,97228,
15:33:56,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,,,,,,,,,,,,,,,,,,
15:33:58,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,99,4,0,45,36,42,95,100,-1,-1,-1,-1,-1,-1,14.20KB/s,67.54KB/s,99232,
15:33:58,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,,,,,,,,,,,,,,,,,,
15:34:00,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,99,4,0,45,36,42,95,100,-1,-1,-1,-1,-1,-1,13.75KB/s,101.32KB/s,101237,
15:34:00,FALSE,com.duowan.kiwi,3,644,-75,-11,17,20,,,,,,,,,,,,,,,,,,
15:34:02,FALSE,com.miui.home,3,644,-75,-11,17,20,99,4,0,45,36,42,95,100,0,-1,-1,-1,180,100,24.88KB/s,87.56KB/s,103235,
15:34:02,FALSE,com.miui.home,3,644,-75,-11,17,20,,,,,,,,,,,,,,,,,,
15:34:04,FALSE,com.miui.home,3,644,-75,-11,17,20,99,4,0,45,36,43,95,100,0,-1,-1,-1,59,100,27.76KB/s,118.10KB/s,105238,
15:34:04,FALSE,com.duapps.recorder,3,644,-75,-11,17,20,,,,,,,,,,,,,,,,,,
15:34:06,FALSE,com.duapps.recorder,3,644,-75,-11,17,20,99,4,0,45,36,43,95,100,0,0,-1,40,69,100,67.72KB/s,283.48KB/s,107239,
