time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,dataStall
13:56:52,FALSE,,-1,966,-63,-11,35,20,99,0,0,30,28,84,96,99,0,0,28,27,84,96,,,1955,
13:56:52,FALSE,com.miui.home,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:56:54,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,28,84,96,100,-1,-1,-1,-1,5,100,0.71MB/s,3.80MB/s,3972,
13:56:54,FALSE,com.miui.home,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:56:56,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,28,84,96,100,-1,-1,-1,-1,-1,-1,0.61MB/s,2.06MB/s,5963,
13:56:56,FALSE,com.android.phone,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:56:58,FALSE,com.android.phone,-1,966,-63,-11,35,20,99,0,0,30,28,83,96,100,-1,-1,-1,-1,4,66,0.87MB/s,3.92MB/s,7974,
13:56:58,FALSE,com.android.phone,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:00,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,28,83,96,100,-1,-1,-1,-1,1,100,0.94MB/s,4.16MB/s,9968,
13:57:00,FALSE,com.miui.home,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:02,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,28,83,96,100,-1,-1,-1,-1,-1,-1,0.59MB/s,2.73MB/s,11981,
13:57:02,FALSE,com.miui.home,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:04,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,28,83,96,100,-1,-1,-1,-1,0,100,0.92MB/s,2.57MB/s,13978,
13:57:04,FALSE,com.miui.home,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:06,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,0,-1,38,1,100,0.62MB/s,2.44MB/s,15980,
13:57:06,FALSE,com.android.contacts,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:08,FALSE,com.android.contacts,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,-1,-1,0.33MB/s,2.47MB/s,17984,
13:57:08,FALSE,com.android.contacts,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:10,FALSE,com.android.contacts,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,1,100,0.42MB/s,3.85MB/s,19988,
13:57:10,FALSE,com.android.contacts,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:12,FALSE,com.android.contacts,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,-1,-1,0.42MB/s,5.17MB/s,21994,
13:57:12,FALSE,com.android.contacts,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:14,FALSE,com.android.contacts,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,178,100,0.25MB/s,3.91MB/s,24003,
13:57:14,FALSE,com.android.contacts,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:16,FALSE,com.miui.home,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,1,100,0.27MB/s,2.98MB/s,25992,
13:57:16,FALSE,com.android.fileexplorer,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
13:57:18,FALSE,com.android.fileexplorer,-1,966,-63,-11,35,20,99,0,0,30,29,83,96,100,-1,-1,-1,-1,-1,-1,0.29MB/s,4.23MB/s,28001,
13:57:18,FALSE,com.android.fileexplorer,-1,966,-63,-11,35,20,,,,,,,,,,,,,,,,,,
