time,isAirplaneOn,pkg,userScene,cid,rsrp,rsrq,snr,rat,ValidLinkTimeRate,tcpFwmarkLossRate,tcpKernelLossRate,tcpFwmarkRttAvg,tcpKernelRttAvg,dnsRttAvg,dnsSuccessRate,deltaValidLinkTimeRate,deltaTcpFwmarkLossRate,deltaTcpKernelLossRate,deltaTcpFwmarkRttAvg,deltaTcpKernelRttAvg,deltaDnsRttAvg,deltaDnsSuccessRate,ulRateBps,dlRateBps,linkKeepAliveTime,dataStall
15:09:23,FALSE,,-1,469,-88,-11,14,20,99,48,1,24,32,325,94,99,48,1,20,31,323,94,,,315,
15:09:23,FALSE,,-1,469,-88,-11,14,20,,,,,,,,,,,,,,,,,,
15:09:25,FALSE,com.miui.home,-1,469,-88,-11,14,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,2321,
15:09:25,FALSE,com.miui.home,-1,469,-88,-11,14,20,,,,,,,,,,,,,,,,,,
15:09:27,FALSE,com.miui.home,-1,469,-88,-11,14,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,4328,
15:09:27,FALSE,com.miui.home,-1,468,-85,-11,18,20,,,,,,,,,,,,,,,,,,
15:09:29,FALSE,com.miui.home,-1,468,-85,-11,18,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,1.68KB/s,0.25KB/s,6329,
15:09:29,FALSE,com.miui.home,-1,468,-85,-11,18,20,,,,,,,,,,,,,,,,,,
15:09:31,FALSE,com.miui.home,-1,468,-85,-11,18,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,8337,
15:09:31,FALSE,com.miui.home,-1,468,-85,-11,18,20,,,,,,,,,,,,,,,,,,
15:09:33,FALSE,com.miui.home,-1,468,-85,-11,18,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,10343,
15:09:33,FALSE,com.miui.home,-1,468,-85,-11,18,20,,,,,,,,,,,,,,,,,,
15:09:35,FALSE,com.miui.home,-1,468,-85,-11,18,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,12349,
15:09:35,FALSE,com.miui.home,-1,468,-74,-11,26,20,,,,,,,,,,,,,,,,,,
15:09:37,FALSE,com.miui.home,-1,468,-74,-11,26,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,14360,
15:09:37,FALSE,com.miui.home,-1,28,-74,-11,26,20,,,,,,,,,,,,,,,,,,
15:09:39,FALSE,com.miui.home,-1,28,-86,-11,20,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,16359,
15:09:39,FALSE,com.miui.home,-1,28,-86,-11,20,20,,,,,,,,,,,,,,,,,,
15:09:41,FALSE,com.miui.home,-1,28,-86,-11,20,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,18359,
15:09:41,FALSE,com.miui.home,-1,28,-86,-11,20,20,,,,,,,,,,,,,,,,,,
15:09:43,FALSE,com.miui.home,-1,28,-88,-11,16,20,99,48,1,24,32,325,94,100,-1,-1,-1,-1,-1,-1,0.00KB/s,0.00KB/s,20361,
15:09:43,FALSE,com.miui.home,-1,28,-88,-11,16,20,,,,,,,,,,,,,,,,,,
15:09:45,FALSE,com.miui.home,-1,28,-88,-11,16,20,99,48,1,24,32,325,94,100,-1,0,-1,32,-1,-1,0.00KB/s,0.00KB/s,22359,
15:09:45,FALSE,com.duowan.kiwi,-1,28,-84,-11,16,20,,,,,,,,,,,,,,,,,,
15:09:47,FALSE,com.duowan.kiwi,-1,28,-84,-11,16,20,99,47,1,22,32,224,95,100,0,-1,21,-1,44,96,0.15MB/s,11.94MB/s,24364,
15:09:47,FALSE,com.duowan.kiwi,-1,28,-84,-11,16,20,,,,,,,,,,,,,,,,,,
15:09:49,FALSE,com.duowan.kiwi,-1,28,-84,-11,16,20,99,46,1,22,32,192,95,100,0,-1,-1,-1,23,98,0.36MB/s,6.05MB/s,26364,
15:09:49,FALSE,com.duowan.kiwi,-1,28,-84,-11,16,20,,,,,,,,,,,,,,,,,,
15:09:51,FALSE,com.duowan.kiwi,-1,472,-84,-11,16,20,99,46,1,22,32,189,95,100,0,-1,-1,-1,20,100,0.43MB/s,3.96MB/s,28370,
15:09:51,FALSE,com.duowan.kiwi,-1,471,-84,-11,16,20,,,,,,,,,,,,,,,,,,
